Tool	Iteration	Sample	Parameters
Fastp	0	sample_3_1.fastq.gz	(17, 13, 6, 21, 97)
Sickle	0	sample_3_1.fastq.gz	(17, 55)
Trimmomatic	1	sample_3_1.fastq.gz	(1, 33, 9, 13, 18, 8, 30, 48)
Cutadapt	1	sample_3_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 17, 68)
BBDuk	1	sample_3_1.fastq.gz	('r', 23, 14, 2, 17, 'rl', 57)
Fastp	1	sample_3_1.fastq.gz	(10, 9, 5, 30, 50)
Sickle	1	sample_3_1.fastq.gz	(20, 78)
Trimmomatic	2	sample_3_1.fastq.gz	(2, 34, 13, 12, 9, 8, 19, 56)
Cutadapt	2	sample_3_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 21, 57)
BBDuk	2	sample_3_1.fastq.gz	('r', 39, 15, 2, 16, 'rl', 49)
Fastp	2	sample_3_1.fastq.gz	(16, 8, 7, 29, 99)
Sickle	2	sample_3_1.fastq.gz	(16, 81)
Trimmomatic	0	sample_9_1.fastq.gz	(1, 35, 9, 10, 5, 10, 20, 48)
Cutadapt	0	sample_9_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 24, 96)
BBDuk	0	sample_9_1.fastq.gz	('r', 40, 14, 0, 29, 'rl', 36)
Fastp	0	sample_9_1.fastq.gz	(9, 7, 6, 29, 75)
Sickle	0	sample_9_1.fastq.gz	(20, 80)
Trimmomatic	1	sample_9_1.fastq.gz	(0, 27, 9, 20, 13, 4, 17, 89)
Cutadapt	1	sample_9_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 22, 99)
BBDuk	1	sample_9_1.fastq.gz	('r', 32, 13, 1, 20, 'rl', 71)
Fastp	1	sample_9_1.fastq.gz	(11, 8, 6, 24, 47)
Sickle	1	sample_9_1.fastq.gz	(21, 40)
Trimmomatic	2	sample_9_1.fastq.gz	(0, 37, 12, 7, 20, 8, 26, 59)
Cutadapt	2	sample_9_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 17, 81)
BBDuk	2	sample_9_1.fastq.gz	('r', 25, 13, 1, 25, 'rl', 68)
Fastp	2	sample_9_1.fastq.gz	(15, 20, 8, 29, 82)
Sickle	2	sample_9_1.fastq.gz	(22, 44)
Trimmomatic	0	sample_8_1.fastq.gz	(1, 32, 14, 15, 17, 9, 16, 44)
Cutadapt	0	sample_8_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 30, 46)
BBDuk	0	sample_8_1.fastq.gz	('r', 39, 14, 2, 23, 'rl', 98)
Fastp	0	sample_8_1.fastq.gz	(19, 14, 7, 16, 83)
Sickle	0	sample_8_1.fastq.gz	(26, 85)
Trimmomatic	1	sample_8_1.fastq.gz	(2, 38, 15, 13, 18, 4, 26, 70)
Cutadapt	1	sample_8_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 28, 78)
BBDuk	1	sample_8_1.fastq.gz	('r', 23, 9, 0, 15, 'rl', 65)
Fastp	1	sample_8_1.fastq.gz	(18, 19, 9, 25, 69)
Sickle	1	sample_8_1.fastq.gz	(28, 81)
Trimmomatic	2	sample_8_1.fastq.gz	(1, 25, 10, 5, 6, 7, 28, 86)
Cutadapt	2	sample_8_1.fastq.gz	('ADAPTER_FWD', 'ADAPTER_REV', 27, 50)
BBDuk	2	sample_8_1.fastq.gz	('r', 34, 15, 0, 20, 'rl', 89)
Fastp	2	sample_8_1.fastq.gz	(5, 14, 10, 27, 51)
Sickle	2	sample_8_1.fastq.gz	(16, 48)
